City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,la sarre,48.8002,-79.1996,8.78,64,86,3.22,CA,1715128396
84,wagar,16.1525,36.2032,26.1,41,4,4.74,SD,1715128621
85,zhanjiang,21.2815,110.3427,27.72,74,100,3.2,CN,1715128622
86,nchelenge,-9.3451,28.734,22.25,71,100,2.81,ZM,1715128373
87,manokwari,-0.8667,134.0833,28.21,76,100,0.36,ID,1715128366
88,touros,-5.1989,-35.4608,26.17,85,100,4.03,BR,1715128292
89,tierralta,8.1736,-76.0592,26.52,93,100,2.73,CO,1715128622
90,mar del plata,-38.0023,-57.5575,17.27,99,100,3.09,AR,1715128175
91,lebu,-37.6167,-73.65,7.97,75,6,1.16,CL,1715128293
92,island harbour,50.724,-1.2758,12.9,63,6,3.06,GB,1715128623
93,canatlan,24.5167,-104.7833,24.4,13,100,7.61,MX,1715128623
94,udachny,66.4167,112.4,-0.31,98,100,9.12,RU,1715128359
95,happy valley-goose bay,53.3168,-60.3315,3.17,70,100,7.72,CA,1715128386
96,cidreira,-30.1811,-50.2056,22.51,86,100,2.86,BR,1715128403
97,lazaro cardenas,17.9583,-102.2,27.18,60,97,5.87,MX,1715128176
98,ola,59.5833,151.2833,0.08,96,98,4.71,RU,1715128352
99,minapasoc,10.6989,123.349,29.53,64,16,2.99,PH,1715128624
100,kourou,5.1552,-52.6478,27.03,83,100,3.27,GF,1715128294
101,pangody,65.85,74.4859,-6.42,94,99,6.98,RU,1715128359
102,caister-on-sea,52.6481,1.7265,10.23,94,0,3.41,GB,1715128624
103,puerto natales,-51.7236,-72.4875,-1.04,88,100,1.14,CL,1715128285
104,bikenibeu village,1.3673,173.1241,29.04,78,34,6.04,KI,1715128334
105,san patricio,28.017,-97.5169,29.4,83,46,4.73,US,1715128288
106,hawaiian paradise park,19.5933,-154.9731,24.93,79,100,5.14,US,1715128300
107,dhidhdhoo,6.8833,73.1,29.53,71,100,4.57,MV,1715128310
108,nelson bay,-32.7167,152.15,20.05,81,66,0.45,AU,1715128625
109,ilulissat,69.2167,-51.1,-4.99,86,100,1.54,GL,1715128284
110,hamilton,39.1834,-84.5333,24.43,87,40,5.66,US,1715128300
111,cill airne,52.05,-9.5167,9.84,87,100,1.78,IE,1715128529
112,augusto correa,-1.0217,-46.635,24.13,99,100,0.61,BR,1715128626
113,haiku-pauwela,20.9219,-156.3051,26.01,73,40,9.26,US,1715128318
114,st. john's,47.5649,-52.7093,8.49,94,75,2.57,CA,1715128209
115,vila franca do campo,37.7167,-25.4333,18.27,99,100,3.42,PT,1715128296
116,bonny,4.4522,7.1681,26.86,85,100,3.18,NG,1715128627
